ax,ay,az,gx,gy,gz
0.04,-0.67,-0.61,-13.53,32.13,-3.33
0.12,-0.64,-0.6,-13.41,10.38,2.5
0.14,-0.62,-0.55,-14.99,-7.53,6.6
0.07,-0.61,-0.54,-16.15,-6.45,9.36
-0.06,-0.6,-0.54,-16.82,9.93,13.62
-0.08,-0.6,-0.57,-17.22,24.18,19.71
-0.01,-0.59,-0.59,-21.58,28.74,27.03
0.09,-0.59,-0.59,-25.03,23.64,33.01
0.13,-0.61,-0.64,-26.14,9.89,38.3
0.07,-0.64,-0.7,-24.4,-6.83,40.54
-0.04,-0.7,-0.75,-14.38,-18.96,35.3
-0.18,-0.8,-0.69,-10.21,-36.34,13.19
-0.35,-0.92,-0.7,-5.47,-35.47,-11.13
-0.49,-0.95,-0.71,-6.95,-20.08,-31.89
-0.52,-0.86,-0.72,-1.74,10.59,-45.98
-0.46,-0.72,-0.72,5.48,39.12,-54.96
-0.28,-0.62,-0.68,4.1,64.0,-45.75
0.04,-0.56,-0.6,-0.88,64.0,-21.73
0.33,-0.49,-0.57,-7.87,51.0,-0.37
0.4,-0.43,-0.59,-9.77,37.63,16.83
0.42,-0.4,-0.57,-14.65,7.68,26.24
0.29,-0.47,-0.59,-19.14,-6.92,29.54
0.09,-0.51,-0.62,-24.21,-6.5,33.32
-0.05,-0.58,-0.65,-26.94,-0.09,37.05
-0.13,-0.7,-0.63,-25.58,-9.07,33.72
-0.18,-0.83,-0.66,-14.71,-19.81,19.88
-0.3,-0.92,-0.7,-11.18,-35.45,-5.69
-0.45,-0.96,-0.72,-11.52,-21.14,-23.02
-0.43,-0.88,-0.72,-2.7,1.33,-33.69
-0.34,-0.76,-0.71,3.15,14.09,-45.28
-0.22,-0.72,-0.72,7.58,24.84,-45.36
-0.04,-0.7,-0.68,3.4,34.51,-33.46
0.19,-0.62,-0.6,-2.11,46.41,-5.66
0.42,-0.49,-0.54,-10.97,31.43,21.86
0.45,-0.4,-0.54,-18.55,19.81,36.7
0.35,-0.4,-0.53,-20.89,-7.13,36.74
0.16,-0.45,-0.58,-25.3,-18.5,41.3
-0.0,-0.56,-0.63,-31.21,-20.61,42.02
-0.07,-0.65,-0.62,-32.02,-16.34,40.83
-0.1,-0.77,-0.64,-23.55,-13.53,31.5
-0.21,-0.9,-0.67,-18.38,-25.52,6.97
-0.41,-1.04,-0.69,-15.02,-27.86,-12.46
-0.47,-1.06,-0.74,-7.98,-3.22,-24.18
-0.35,-0.92,-0.74,1.06,7.22,-39.43
-0.26,-0.78,-0.72,8.89,12.95,-51.11
-0.17,-0.73,-0.72,10.8,23.12,-48.66
-0.02,-0.68,-0.64,2.17,44.6,-32.55
0.21,-0.6,-0.51,-11.77,52.42,-7.08
0.41,-0.46,-0.47,-21.96,38.94,21.39
0.44,-0.35,-0.5,-32.0,10.56,36.3
0.26,-0.34,-0.53,-30.14,-24.45,30.49
0.06,-0.4,-0.59,-27.76,-32.95,36.89
-0.06,-0.5,-0.63,-27.93,-21.87,37.78
-0.1,-0.59,-0.62,-26.78,-4.76,39.16
-0.11,-0.69,-0.62,-21.52,0.35,36.72
-0.17,-0.83,-0.64,-16.87,-6.25,25.21
-0.29,-0.99,-0.69,-12.82,-11.18,10.41
-0.36,-1.03,-0.75,-5.15,-15.57,-9.35
-0.35,-0.95,-0.73,-2.1,-3.91,-20.81
-0.23,-0.82,-0.71,8.33,-3.15,-29.46
-0.19,-0.73,-0.7,8.49,-9.11,-40.75
-0.21,-0.74,-0.69,10.0,-4.08,-45.71
-0.14,-0.73,-0.68,7.39,14.75,-38.28
0.07,-0.67,-0.6,2.01,33.65,-20.92
0.28,-0.56,-0.51,-10.83,28.14,-4.38
0.39,-0.46,-0.5,-21.62,16.14,23.21
0.41,-0.41,-0.52,-30.4,-2.44,34.98
0.26,-0.44,-0.54,-27.95,-17.74,35.19
0.06,-0.52,-0.59,-32.61,-12.69,40.97
-0.02,-0.63,-0.64,-32.91,-6.04,43.71
-0.06,-0.72,-0.65,-27.3,-7.93,39.52
-0.17,-0.84,-0.65,-22.99,-25.43,24.66
-0.33,-0.94,-0.67,-17.01,-30.46,7.0
-0.46,-1.03,-0.72,-6.78,-24.88,-15.93
-0.48,-0.99,-0.72,-6.82,0.51,-27.38
-0.35,-0.83,-0.69,2.27,10.85,-39.35
-0.26,-0.71,-0.7,5.32,8.79,-49.82
-0.19,-0.7,-0.69,4.46,19.22,-43.75
-0.0,-0.69,-0.64,0.49,34.38,-26.59
0.24,-0.59,-0.55,-10.27,40.08,-7.51
0.37,-0.46,-0.49,-20.38,31.01,16.42
0.42,-0.38,-0.49,-29.96,12.11,34.43
0.32,-0.39,-0.53,-30.53,-14.91,36.78
0.11,-0.46,-0.56,-32.22,-18.18,42.91
-0.03,-0.57,-0.6,-31.39,-13.16,45.44
-0.09,-0.67,-0.63,-30.17,-7.9,43.76
-0.14,-0.77,-0.64,-21.41,-11.94,34.2
-0.28,-0.91,-0.64,-16.86,-23.38,14.69
-0.44,-1.04,-0.7,-7.73,-18.96,-5.69
-0.5,-1.04,-0.74,-3.69,0.33,-17.55
-0.4,-0.9,-0.69,1.74,12.57,-29.35
-0.25,-0.75,-0.67,6.52,12.87,-37.32
-0.16,-0.68,-0.68,7.03,5.58,-40.59
-0.05,-0.66,-0.67,3.26,21.56,-28.18
0.12,-0.61,-0.58,-8.04,32.23,-17.69
0.24,-0.55,-0.51,-19.88,37.86,4.06
0.38,-0.47,-0.51,-32.01,26.93,27.1
0.42,-0.47,-0.53,-37.19,1.63,40.01
0.28,-0.52,-0.56,-36.19,-12.62,49.46
0.11,-0.59,-0.62,-35.42,-10.89,52.93
-0.04,-0.68,-0.63,-31.84,-13.9,44.76
-0.23,-0.79,-0.63,-26.46,-21.41,29.41
-0.42,-0.9,-0.68,-16.54,-21.14,14.74
-0.51,-0.95,-0.74,-4.38,-18.73,-10.89
-0.57,-0.9,-0.71,-2.0,5.4,-24.99
-0.45,-0.8,-0.64,2.1,24.58,-32.61
-0.25,-0.7,-0.64,5.49,25.59,-41.01
-0.15,-0.66,-0.65,3.98,18.85,-42.7
-0.05,-0.67,-0.66,1.41,24.27,-34.08
0.11,-0.65,-0.61,-6.43,30.9,-17.18
0.27,-0.59,-0.54,-17.12,31.43,1.17
0.38,-0.51,-0.51,-24.79,21.3,26.38
0.41,-0.47,-0.55,-29.48,3.9,39.18
0.25,-0.5,-0.57,-29.78,-8.52,46.79
0.08,-0.56,-0.6,-29.98,-6.06,52.48
-0.04,-0.63,-0.62,-29.87,1.41,51.27
-0.14,-0.71,-0.61,-26.56,-5.03,36.01
-0.32,-0.83,-0.61,-25.13,-17.21,20.26
-0.46,-0.92,-0.7,-12.04,-17.24,1.32
-0.53,-0.96,-0.72,-5.88,-7.97,-19.78
-0.5,-0.92,-0.67,-4.58,10.67,-29.87
-0.34,-0.82,-0.64,-0.46,14.02,-37.4
-0.19,-0.72,-0.66,3.06,12.5,-43.04
-0.08,-0.68,-0.67,3.72,18.72,-35.2
0.08,-0.64,-0.64,-0.41,30.88,-22.5
0.18,-0.59,-0.57,-9.01,33.73,-10.67
0.28,-0.53,-0.52,-21.64,33.15,10.2
0.37,-0.5,-0.51,-30.59,17.81,30.69
0.36,-0.51,-0.55,-32.23,-0.31,40.84
0.23,-0.54,-0.58,-32.56,-10.21,47.49
0.06,-0.61,-0.6,-33.88,-9.79,48.87
-0.07,-0.69,-0.63,-30.17,-14.21,37.14
-0.27,-0.79,-0.64,-27.56,-20.38,20.22
-0.44,-0.91,-0.69,-19.41,-17.64,3.42
-0.53,-0.94,-0.74,-9.34,-13.83,-19.03
-0.51,-0.91,-0.71,-6.96,8.62,-32.88
-0.35,-0.82,-0.67,-1.11,11.53,-42.36
-0.21,-0.73,-0.69,3.86,8.51,-47.04
-0.1,-0.68,-0.69,5.63,8.77,-44.73
0.04,-0.64,-0.65,1.86,23.55,-28.87
0.22,-0.57,-0.58,-6.87,28.84,-11.73
0.32,-0.49,-0.49,-19.62,29.07,9.99
0.4,-0.44,-0.49,-29.59,19.69,34.8
0.39,-0.45,-0.52,-33.91,-0.53,45.04
0.24,-0.5,-0.54,-35.59,-13.78,52.59
0.06,-0.57,-0.58,-36.12,-16.43,56.65
-0.05,-0.66,-0.61,-32.28,-19.71,47.82
-0.23,-0.8,-0.63,-28.67,-32.69,30.56
-0.46,-0.92,-0.67,-21.02,-37.18,11.4
-0.59,-0.97,-0.74,-5.91,-32.13,-13.62
-0.64,-0.92,-0.74,-2.28,-6.58,-35.47
-0.5,-0.82,-0.69,2.71,16.77,-44.65
-0.28,-0.73,-0.69,4.95,20.88,-52.3
-0.11,-0.68,-0.71,3.74,31.29,-46.07
0.08,-0.65,-0.64,-4.09,42.26,-28.9
0.27,-0.61,-0.55,-16.97,35.11,-13.21
0.39,-0.56,-0.52,-27.83,23.84,10.86
0.52,-0.52,-0.53,-36.99,11.2,37.89
0.53,-0.51,-0.56,-39.05,-11.02,51.13
0.29,-0.51,-0.57,-39.72,-17.87,59.37
0.04,-0.55,-0.56,-43.06,-20.9,60.37
-0.13,-0.66,-0.57,-38.89,-35.81,52.47
-0.33,-0.79,-0.69,-21.08,-51.42,32.02
