ax,ay,az,gx,gy,gz
-0.17, -0.93, -0.72, -6.20, -64.00, 8.15
-0.43, -0.98, -0.72, 6.19, -56.71, -18.69
-0.60, -1.00, -0.66, 10.16, -3.28, -41.53
-0.50, -0.93, -0.57, 18.40, 26.47, -60.88
-0.24, -0.86, -0.53, 23.18, 22.07, -63.29
0.09, -0.83, -0.47, 15.44, 30.85, -45.11
0.43, -0.75, -0.34, 7.49, 33.89, -20.21
0.66, -0.61, -0.24, 0.03, 10.98, 3.34
0.70, -0.57, -0.17, -15.77, 12.96, 30.69
0.65, -0.63, -0.17, -28.50, 17.61, 38.76
0.48, -0.69, -0.24, -46.04, 14.06, 46.48
0.24, -0.73, -0.33, -54.42, 5.66, 51.94
0.10, -0.74, -0.47, -45.19, -21.46, 48.36
-0.01, -0.80, -0.63, -29.07, -50.71, 34.72
-0.21, -0.92, -0.71, -14.59, -57.67, 14.33
-0.49, -1.00, -0.72, -3.45, -39.55, -13.33
-0.62, -1.01, -0.70, 0.55, 15.29, -32.74
-0.46, -0.95, -0.63, 8.62, 46.58, -46.28
-0.16, -0.88, -0.57, 15.15, 33.00, -53.15
0.06, -0.87, -0.53, 17.01, 11.76, -48.48
0.26, -0.83, -0.48, 10.13, 11.79, -30.30
0.44, -0.73, -0.38, 3.30, 10.86, -13.81
0.49, -0.62, -0.26, -8.59, 9.58, 4.22
0.53, -0.60, -0.21, -22.61, 17.21, 22.55
0.53, -0.63, -0.23, -35.11, 18.21, 33.16
0.38, -0.68, -0.29, -46.42, 17.12, 40.46
0.17, -0.71, -0.38, -49.08, 12.92, 47.15
0.08, -0.70, -0.47, -39.86, 2.99, 45.65
-0.01, -0.75, -0.59, -21.93, -23.98, 34.53
-0.18, -0.86, -0.66, -7.89, -39.38, 17.57
-0.40, -0.98, -0.66, 6.10, -36.90, -6.00
-0.52, -1.04, -0.62, 7.01, 0.82, -25.40
-0.43, -1.00, -0.56, 10.51, 34.94, -42.93
-0.21, -0.90, -0.52, 18.49, 31.41, -49.95
0.03, -0.87, -0.50, 19.28, 18.72, -47.28
0.21, -0.88, -0.44, 12.18, 17.23, -33.70
0.37, -0.79, -0.38, 2.49, 20.91, -17.57
0.47, -0.68, -0.27, -4.21, 21.46, 2.20
0.54, -0.62, -0.21, -19.70, 28.25, 22.12
0.56, -0.65, -0.21, -31.68, 32.88, 33.61
0.46, -0.71, -0.25, -44.54, 30.62, 39.03
0.26, -0.76, -0.30, -53.18, 30.00, 43.70
0.13, -0.78, -0.38, -53.46, 14.28, 43.81
0.07, -0.81, -0.49, -40.07, -26.47, 35.13
-0.06, -0.87, -0.60, -22.95, -53.30, 20.17
-0.27, -0.96, -0.65, -9.47, -61.98, -4.15
-0.53, -1.00, -0.64, -0.69, -36.65, -28.49
-0.59, -0.97, -0.62, 3.07, 19.20, -46.68
-0.39, -0.88, -0.58, 13.15, 31.97, -59.50
-0.11, -0.85, -0.54, 17.70, 20.83, -60.06
0.14, -0.85, -0.52, 11.39, 19.91, -42.57
0.42, -0.77, -0.42, 3.39, 26.35, -20.20
0.59, -0.63, -0.30, -0.22, 14.94, 0.47
0.63, -0.57, -0.22, -16.19, 19.95, 26.00
0.63, -0.61, -0.20, -28.53, 24.27, 37.37
0.49, -0.69, -0.24, -45.77, 24.94, 41.70
0.27, -0.74, -0.27, -57.25, 30.66, 47.62
0.13, -0.77, -0.34, -58.56, 18.10, 47.91
0.07, -0.80, -0.48, -47.92, -13.28, 42.23
-0.05, -0.85, -0.61, -33.42, -47.40, 28.47
-0.27, -0.94, -0.66, -16.26, -64.00, 3.36
-0.51, -0.98, -0.67, -6.36, -45.33, -20.88
-0.58, -0.98, -0.63, -2.68, 13.87, -40.17
-0.41, -0.89, -0.58, 6.16, 35.68, -54.90
-0.13, -0.82, -0.56, 15.48, 26.68, -56.14
0.10, -0.83, -0.55, 15.40, 13.55, -46.87
0.36, -0.80, -0.49, 7.48, 16.59, -20.99
0.55, -0.70, -0.38, 2.17, 16.34, 0.61
0.62, -0.59, -0.27, -8.37, 10.23, 20.30
0.60, -0.59, -0.22, -19.95, 17.24, 34.62
0.49, -0.67, -0.24, -36.03, 21.63, 40.57
0.29, -0.76, -0.27, -51.59, 29.64, 47.08
0.13, -0.80, -0.33, -59.64, 21.59, 48.51
0.04, -0.80, -0.47, -49.78, -16.51, 38.29
-0.09, -0.83, -0.63, -24.75, -64.00, 20.76
-0.32, -0.91, -0.76, -7.49, -64.00, -4.79
-0.62, -0.99, -0.72, -0.16, -28.49, -30.46
-0.66, -0.97, -0.61, 7.29, 35.76, -50.16
-0.39, -0.88, -0.58, 19.33, 45.01, -60.80
-0.08, -0.85, -0.57, 24.08, 34.61, -56.44
0.24, -0.84, -0.53, 17.45, 32.95, -37.93
0.49, -0.78, -0.40, 8.49, 27.21, -15.41
0.62, -0.67, -0.28, 2.12, 10.36, 1.64
0.62, -0.63, -0.21, -13.79, 16.06, 23.58
0.59, -0.67, -0.19, -29.37, 21.59, 31.57
0.43, -0.72, -0.24, -45.81, 23.15, 34.56
0.19, -0.78, -0.30, -58.58, 26.28, 37.82
0.08, -0.80, -0.38, -57.21, 15.53, 37.79
