ax,ay,az,gx,gy,gz
0.24, -0.74, -0.44, -33.71, 24.17, 36.33
0.22, -0.76, -0.47, -36.80, 22.85, 37.32
0.15, -0.78, -0.49, -35.80, 8.44, 32.65
0.11, -0.81, -0.54, -26.69, -16.76, 26.80
0.04, -0.87, -0.58, -19.57, -34.38, 12.30
-0.12, -0.97, -0.58, -13.89, -32.33, -2.89
-0.21, -1.02, -0.56, -12.34, -16.47, -15.92
-0.18, -0.99, -0.51, -9.49, 1.19, -26.95
-0.09, -0.93, -0.49, -6.04, 8.23, -36.59
0.01, -0.87, -0.49, -3.75, 10.94, -41.05
0.12, -0.84, -0.50, -2.78, 16.53, -37.85
0.26, -0.78, -0.47, -3.72, 13.84, -26.16
0.39, -0.70, -0.42, -6.07, 11.07, -8.06
0.49, -0.61, -0.38, -8.81, 4.18, 4.46
0.46, -0.57, -0.36, -14.25, -1.97, 13.03
0.33, -0.59, -0.36, -22.15, 0.79, 18.96
0.19, -0.67, -0.37, -28.87, 9.38, 19.55
0.09, -0.71, -0.42, -31.50, 18.68, 22.55
0.11, -0.72, -0.46, -31.12, 11.28, 24.75
0.16, -0.77, -0.49, -27.89, -4.06, 26.48
0.14, -0.86, -0.53, -20.90, -28.05, 21.67
0.05, -0.92, -0.57, -12.49, -43.54, 9.17
-0.11, -0.96, -0.59, -6.08, -37.05, -6.81
-0.22, -0.97, -0.56, -3.02, -13.50, -20.19
-0.21, -0.94, -0.53, 0.07, 1.23, -34.15
-0.13, -0.91, -0.52, 2.81, 5.63, -42.04
0.01, -0.89, -0.51, 1.80, 6.36, -42.95
0.17, -0.85, -0.48, -1.48, 9.51, -31.90
0.38, -0.75, -0.43, -3.58, 12.43, -12.11
0.52, -0.63, -0.40, -7.55, -1.97, 3.51
0.51, -0.58, -0.34, -16.35, -3.91, 17.71
0.44, -0.61, -0.32, -24.64, -3.66, 26.45
0.26, -0.65, -0.36, -31.52, -1.06, 24.89
0.10, -0.67, -0.43, -33.34, 11.00, 28.75
0.08, -0.70, -0.47, -33.29, 8.96, 29.62
0.11, -0.77, -0.50, -28.27, -6.23, 29.96
0.12, -0.86, -0.53, -21.30, -22.12, 25.10
0.04, -0.92, -0.57, -13.18, -38.84, 13.21
-0.09, -0.96, -0.59, -5.96, -40.07, -3.54
-0.21, -0.98, -0.58, -2.60, -17.20, -20.15
-0.25, -0.97, -0.54, -0.74, 1.46, -33.06
-0.18, -0.92, -0.51, -0.66, 6.93, -41.80
-0.03, -0.90, -0.48, -2.32, 6.38, -43.43
0.17, -0.86, -0.47, -4.45, 7.19, -30.74
0.38, -0.75, -0.46, -7.56, 11.55, -5.39
0.56, -0.62, -0.40, -10.55, 0.60, 13.59
0.54, -0.56, -0.36, -17.11, 1.03, 24.86
0.36, -0.60, -0.37, -24.83, 4.30, 25.89
0.16, -0.66, -0.41, -31.46, 12.91, 27.44
0.04, -0.70, -0.46, -31.11, 23.59, 29.48
0.05, -0.73, -0.49, -27.47, 11.20, 25.67
0.06, -0.82, -0.54, -18.77, -14.68, 18.32
0.01, -0.92, -0.59, -11.61, -34.68, 7.99
-0.08, -0.99, -0.58, -5.17, -35.20, -8.46
-0.18, -1.02, -0.56, -1.86, -12.64, -24.72
-0.22, -0.99, -0.54, 1.36, 2.94, -37.75
-0.15, -0.93, -0.53, 2.72, 15.60, -42.24
0.04, -0.88, -0.51, 1.18, 21.20, -37.98
0.25, -0.81, -0.46, -4.66, 28.01, -18.77
0.48, -0.70, -0.41, -10.26, 20.14, -0.67
0.55, -0.60, -0.36, -20.86, 8.67, 14.71
0.48, -0.58, -0.36, -30.59, 5.28, 24.25
0.31, -0.63, -0.39, -41.36, 5.19, 26.93
0.13, -0.70, -0.43, -42.78, 18.69, 29.97
0.08, -0.73, -0.47, -43.54, 25.66, 28.82
0.10, -0.79, -0.49, -39.52, 10.24, 27.04
0.07, -0.87, -0.54, -29.70, -9.84, 21.79
-0.02, -0.94, -0.56, -22.34, -23.32, 6.32
-0.17, -1.00, -0.56, -13.37, -21.37, -12.55
-0.25, -1.02, -0.56, -11.54, -6.54, -27.52
-0.23, -0.96, -0.53, -4.03, -2.39, -42.70
-0.12, -0.87, -0.51, 0.44, 0.13, -45.78
0.07, -0.83, -0.49, -0.45, 8.64, -38.80
0.28, -0.78, -0.45, -4.17, 23.53, -14.26
0.53, -0.65, -0.39, -6.57, 21.73, 3.34
0.58, -0.54, -0.37, -13.37, 13.97, 16.76
0.46, -0.54, -0.38, -21.16, 21.16, 26.31
0.26, -0.62, -0.44, -29.91, 27.85, 28.59
0.10, -0.70, -0.46, -31.87, 43.37, 32.53
0.11, -0.74, -0.49, -32.56, 39.95, 31.38
0.11, -0.81, -0.51, -26.56, 9.02, 27.82
0.06, -0.90, -0.58, -17.92, -18.86, 19.16
-0.08, -0.97, -0.58, -11.39, -30.45, -1.60
-0.26, -1.01, -0.56, -5.98, -15.32, -19.38
-0.31, -0.97, -0.55, -2.22, 3.18, -33.59
-0.21, -0.88, -0.53, 2.08, 8.85, -44.27
-0.04, -0.82, -0.51, 2.58, 15.55, -41.72
0.16, -0.80, -0.49, -0.35, 19.69, -31.20
0.35, -0.75, -0.44, -5.59, 25.80, -9.57
0.56, -0.65, -0.39, -12.82, 19.57, 9.34
0.63, -0.58, -0.37, -19.74, 13.23, 22.68
0.49, -0.60, -0.38, -30.10, 12.83, 30.99
0.24, -0.66, -0.43, -36.20, 22.08, 32.95
0.07, -0.71, -0.49, -35.48, 34.46, 34.92
0.05, -0.74, -0.51, -32.92, 13.39, 28.93
0.03, -0.83, -0.53, -25.39, -16.51, 21.19
-0.04, -0.92, -0.53, -17.37, -39.15, 0.60
-0.21, -0.98, -0.55, -10.01, -34.64, -19.50
-0.31, -0.99, -0.55, -6.42, -5.74, -32.53
-0.23, -0.92, -0.54, -1.11, 9.83, -43.19
-0.06, -0.85, -0.54, 0.81, 19.10, -42.44
0.16, -0.81, -0.53, -0.83, 21.33, -32.76
0.36, -0.76, -0.50, -4.82, 22.71, -14.23
0.54, -0.68, -0.43, -9.89, 19.58, 4.54
0.61, -0.60, -0.39, -16.25, 12.70, 17.52
0.51, -0.58, -0.40, -27.33, 11.65, 28.11
0.30, -0.65, -0.42, -34.48, 20.28, 31.43
0.14, -0.69, -0.47, -35.08, 30.22, 34.22
0.09, -0.71, -0.50, -30.69, 25.13, 31.71
0.06, -0.77, -0.52, -23.35, -0.31, 24.47
-0.00, -0.90, -0.55, -15.40, -23.70, 13.43
-0.11, -1.00, -0.56, -8.80, -28.20, -10.03
-0.24, -1.03, -0.55, -7.59, -1.38, -20.76
-0.21, -0.97, -0.52, -3.71, 9.63, -33.60
-0.06, -0.87, -0.53, 1.74, 8.49, -38.21
0.06, -0.83, -0.53, 1.32, 2.80, -39.58
0.16, -0.82, -0.49, -2.52, 4.67, -33.42
0.31, -0.75, -0.46, -6.71, 10.15, -14.63
0.49, -0.63, -0.41, -14.61, 15.82, 4.47
0.58, -0.53, -0.38, -18.58, 15.57, 21.39
0.51, -0.51, -0.39, -26.47, 17.70, 31.59
0.32, -0.59, -0.45, -31.27, 19.06, 38.69
0.18, -0.66, -0.51, -31.30, 19.94, 43.28
0.15, -0.71, -0.53, -28.55, 16.68, 41.33
0.09, -0.78, -0.52, -22.76, 0.77, 30.58
-0.04, -0.90, -0.55, -18.90, -8.62, 19.33
-0.17, -1.00, -0.56, -13.74, -7.19, 0.84
-0.24, -1.04, -0.60, -10.46, 11.44, -12.66
-0.17, -1.00, -0.58, -7.27, 18.85, -22.41
-0.01, -0.88, -0.56, -0.79, 7.44, -29.28
0.12, -0.81, -0.55, 1.84, 4.46, -28.98
0.18, -0.78, -0.52, -1.50, 10.92, -26.09
0.22, -0.74, -0.46, -5.80, 18.96, -17.31
0.31, -0.66, -0.40, -12.79, 23.59, -1.01
0.45, -0.61, -0.38, -19.62, 20.54, 14.55
0.51, -0.61, -0.39, -24.81, 7.20, 27.13
0.42, -0.65, -0.42, -27.56, 5.83, 35.86
0.27, -0.71, -0.46, -28.49, 8.68, 36.12
0.13, -0.76, -0.50, -24.90, 1.78, 27.73
-0.04, -0.86, -0.55, -19.61, -14.80, 13.53
-0.16, -0.95, -0.59, -12.95, -14.85, -1.01
-0.24, -0.99, -0.61, -6.94, -10.10, -16.47
-0.21, -0.96, -0.58, -3.06, 0.61, -25.70
-0.08, -0.87, -0.54, 4.30, -5.86, -36.27
0.01, -0.82, -0.55, 7.31, -3.71, -38.99
0.10, -0.80, -0.54, 5.42, 3.95, -35.99
0.18, -0.75, -0.47, -1.59, 15.69, -24.26
0.34, -0.67, -0.38, -10.36, 20.83, -6.65
0.48, -0.59, -0.34, -17.75, 16.99, 9.70
0.53, -0.57, -0.36, -24.03, 15.00, 24.40
0.46, -0.62, -0.38, -28.96, 14.41, 33.25
0.34, -0.69, -0.42, -32.70, 17.05, 37.85
0.23, -0.76, -0.48, -33.05, 17.65, 40.36
0.19, -0.78, -0.54, -30.96, 11.96, 36.53
0.08, -0.84, -0.58, -23.97, -7.04, 25.35
-0.08, -0.93, -0.60, -14.94, -15.89, 9.37
-0.21, -1.02, -0.64, -7.02, -6.92, -9.54
-0.26, -1.03, -0.62, -3.96, 12.83, -23.60
-0.16, -0.97, -0.53, -0.93, 12.73, -32.89
0.00, -0.89, -0.51, 2.90, 12.31, -34.45
0.13, -0.82, -0.50, 0.19, 12.28, -34.38
0.19, -0.77, -0.43, -5.76, 21.16, -21.59
0.33, -0.67, -0.38, -10.23, 18.72, -9.11
0.44, -0.58, -0.37, -15.54, 11.07, 6.82
0.48, -0.55, -0.35, -22.69, 9.18, 20.94
0.42, -0.59, -0.37, -27.79, 10.90, 29.91
0.30, -0.65, -0.42, -29.00, 13.37, 35.33
0.20, -0.67, -0.49, -26.72, 15.50, 37.70
0.13, -0.72, -0.54, -22.59, 6.89, 32.02
0.03, -0.84, -0.56, -16.23, -13.23, 18.02
-0.12, -0.97, -0.56, -9.92, -16.89, 4.62
-0.20, -1.04, -0.59, -3.54, -3.00, -13.56
-0.18, -1.02, -0.57, -2.71, 11.38, -23.16
-0.06, -0.95, -0.52, 2.13, 11.95, -29.90
0.08, -0.87, -0.54, 4.29, 10.55, -31.69
0.16, -0.82, -0.53, 2.04, 19.92, -29.49
0.20, -0.78, -0.47, -3.44, 24.84, -24.24
0.27, -0.72, -0.41, -9.40, 26.28, -14.24
0.39, -0.65, -0.38, -16.21, 28.11, 2.27
0.48, -0.62, -0.36, -22.87, 30.18, 17.05
0.49, -0.63, -0.37, -28.99, 34.45, 28.66
0.39, -0.67, -0.43, -33.27, 35.23, 36.96
0.28, -0.70, -0.49, -33.57, 34.70, 42.22
0.20, -0.74, -0.51, -29.64, 23.63, 35.31
0.03, -0.85, -0.54, -21.89, -2.84, 15.68
-0.19, -0.98, -0.58, -15.12, -11.89, -0.71
-0.25, -1.03, -0.62, -8.08, 1.74, -16.43
-0.17, -0.97, -0.59, -3.64, 20.57, -26.34
-0.03, -0.86, -0.53, 2.62, 15.60, -34.76
0.08, -0.81, -0.52, 5.74, 7.55, -37.29
0.13, -0.83, -0.53, 6.33, -0.47, -41.46
0.12, -0.82, -0.50, 4.81, -0.10, -38.98
0.22, -0.77, -0.46, 0.06, 11.10, -27.37
0.40, -0.70, -0.38, -8.72, 21.05, -8.32
0.57, -0.62, -0.32, -21.10, 23.05, 13.42
0.68, -0.59, -0.29, -30.19, 21.24, 32.86
0.65, -0.62, -0.32, -39.99, 19.54, 40.84
0.40, -0.67, -0.40, -48.20, 25.41, 46.50
0.18, -0.69, -0.45, -48.38, 25.02, 49.04
0.11, -0.73, -0.49, -37.99, -11.96, 37.41
-0.02, -0.85, -0.57, -19.53, -42.09, 18.38
-0.22, -0.99, -0.65, -7.65, -41.74, -11.66
-0.43, -1.04, -0.65, -2.77, -6.74, -25.04
-0.32, -0.97, -0.59, 3.83, 19.16, -37.70
-0.04, -0.87, -0.55, 11.13, 10.89, -47.39
0.13, -0.85, -0.56, 14.30, -3.24, -48.21
0.22, -0.88, -0.55, 10.38, -7.56, -41.58
0.34, -0.84, -0.50, 6.83, 1.13, -29.55
0.50, -0.72, -0.43, -2.97, 17.22, -10.11
0.58, -0.58, -0.34, -14.89, 18.94, 6.80
0.60, -0.53, -0.30, -26.41, 25.32, 27.95
0.57, -0.60, -0.31, -39.29, 17.83, 34.65
0.37, -0.68, -0.37, -45.74, 22.38, 38.93
0.20, -0.70, -0.42, -47.28, 31.43, 41.88
0.14, -0.73, -0.45, -44.12, 21.65, 37.48
0.06, -0.81, -0.53, -31.85, -17.71, 26.51
-0.05, -0.88, -0.65, -12.60, -48.35, 5.25
-0.23, -0.99, -0.67, -1.59, -39.74, -20.28
-0.36, -1.03, -0.63, 2.80, 4.72, -33.71
-0.22, -0.90, -0.57, 10.34, 16.46, -48.08
0.00, -0.83, -0.53, 13.41, 12.94, -51.29
0.18, -0.87, -0.53, 9.82, 1.50, -45.43
0.35, -0.85, -0.50, 5.05, 11.86, -24.78
0.58, -0.71, -0.43, -1.54, 7.40, -9.74
0.65, -0.57, -0.35, -12.91, 10.69, 10.80
0.62, -0.52, -0.32, -23.08, 12.84, 24.53
0.48, -0.57, -0.34, -35.35, 17.77, 32.21
0.29, -0.68, -0.39, -42.92, 23.46, 32.89
0.15, -0.75, -0.45, -44.50, 29.80, 35.16
0.13, -0.79, -0.49, -37.63, 6.58, 28.55
0.09, -0.86, -0.56, -24.34, -25.62, 16.03
-0.02, -0.94, -0.64, -8.45, -35.78, -5.26
-0.20, -1.00, -0.67, 0.96, -9.90, -23.10
-0.28, -0.98, -0.62, 6.78, 19.85, -38.51
-0.13, -0.91, -0.55, 10.71, 29.49, -45.50
0.10, -0.89, -0.51, 9.35, 21.90, -42.14
0.35, -0.85, -0.47, 5.89, 13.43, -26.73
0.56, -0.74, -0.44, 2.39, 9.12, -9.23
0.63, -0.59, -0.39, -5.40, 3.20, 5.01
0.53, -0.52, -0.34, -14.92, 1.08, 16.08
0.39, -0.55, -0.36, -26.64, 3.07, 22.16
0.25, -0.64, -0.39, -33.44, 6.89, 25.81
0.19, -0.70, -0.43, -35.83, 4.89, 28.13
0.24, -0.74, -0.46, -35.00, -7.50, 31.61
0.31, -0.82, -0.48, -31.27, -25.85, 31.47
0.26, -0.91, -0.53, -21.01, -39.44, 23.76
