ax,ay,az,gx,gy,gz
-0.55, -0.93, 0.01, 8.12, 44.07, 0.14
-0.47, -1.01, 0.02, 3.64, 44.51, -7.71
-0.36, -1.04, 0.08, 0.21, 35.48, -16.27
-0.30, -1.02, 0.10, -6.40, 34.52, -25.12
-0.31, -1.01, 0.14, -15.98, 39.98, -31.30
-0.32, -1.00, 0.13, -22.93, 48.62, -27.79
-0.22, -0.95, -0.02, -28.73, 42.01, -21.22
-0.10, -0.85, -0.05, -40.24, 2.71, -14.49
-0.05, -0.74, 0.05, -41.12, -34.04, -4.62
-0.04, -0.67, -0.09, -33.50, -54.44, 6.29
-0.06, -0.65, -0.25, -25.43, -63.77, 13.82
-0.11, -0.65, -0.28, -12.73, -62.75, 18.96
-0.20, -0.65, -0.36, 7.79, -52.89, 22.02
-0.27, -0.67, -0.46, 18.84, -28.93, 22.79
-0.27, -0.77, -0.22, 19.11, -9.44, 22.85
-0.37, -0.89, 0.01, 23.62, 25.75, 16.10
-0.49, -0.98, -0.03, 15.13, 52.80, 8.71
-0.48, -1.09, 0.12, 2.49, 52.98, -1.44
-0.40, -1.09, 0.15, -1.83, 52.12, -9.32
-0.35, -1.08, 0.07, -11.58, 39.63, -21.48
-0.37, -1.09, 0.16, -30.95, 19.94, -28.85
-0.36, -1.07, 0.18, -37.14, 18.52, -28.07
-0.28, -0.99, 0.02, -41.90, 17.12, -27.42
-0.20, -0.87, -0.11, -41.40, 3.43, -20.32
-0.10, -0.76, -0.15, -34.62, -14.25, -9.52
-0.02, -0.69, -0.23, -26.63, -33.23, 0.24
-0.00, -0.68, -0.23, -16.94, -46.86, 10.80
-0.05, -0.67, -0.29, -0.21, -52.93, 17.55
-0.13, -0.67, -0.37, 5.53, -45.95, 20.51
-0.21, -0.72, -0.18, -1.71, -26.10, 12.21
-0.42, -0.76, 0.06, 0.53, 12.18, 16.21
-0.50, -0.82, -0.00, 4.37, 41.00, 13.06
-0.41, -0.91, -0.02, 0.98, 43.95, 6.29
-0.32, -0.99, 0.07, 1.61, 36.50, 1.49
-0.29, -1.02, 0.10, -3.73, 31.13, -11.05
-0.33, -1.04, 0.13, -13.69, 32.88, -21.13
-0.40, -1.06, 0.16, -30.11, 28.30, -26.04
-0.36, -1.03, 0.10, -39.62, 31.22, -24.84
