ax,ay,az,gx,gy,gz
0.38, -0.61, -0.41, -15.59, 11.46, 7.53
0.37, -0.52, -0.35, -23.66, 11.10, 25.88
0.26, -0.53, -0.35, -32.56, 12.30, 33.89
0.11, -0.61, -0.39, -36.91, 22.32, 43.70
0.03, -0.66, -0.44, -37.81, 20.36, 51.89
0.02, -0.68, -0.47, -35.12, 8.19, 52.00
-0.07, -0.72, -0.54, -23.29, -14.06, 39.48
-0.27, -0.79, -0.62, -15.18, -9.96, 22.45
-0.50, -0.88, -0.64, -8.01, 0.23, 4.05
-0.58, -0.92, -0.63, -2.05, 14.22, -9.92
-0.47, -0.93, -0.62, 1.55, 23.66, -18.75
-0.33, -0.91, -0.55, 0.92, 20.47, -25.26
-0.15, -0.85, -0.48, -2.63, 13.83, -22.37
0.04, -0.78, -0.44, -4.76, 3.47, -13.70
0.18, -0.71, -0.45, -6.33, 17.45, 5.14
0.23, -0.63, -0.41, -16.95, 27.85, 18.03
0.15, -0.63, -0.33, -26.12, 23.36, 23.45
0.09, -0.69, -0.34, -32.20, 11.67, 31.84
0.06, -0.73, -0.41, -32.57, -5.51, 31.02
-0.02, -0.72, -0.48, -28.41, -20.38, 25.76
-0.17, -0.76, -0.55, -22.84, -26.99, 14.08
-0.33, -0.82, -0.61, -13.95, -24.37, -2.04
-0.42, -0.85, -0.67, -5.89, -8.78, -11.85
-0.38, -0.91, -0.66, -1.55, 5.89, -16.62
-0.25, -0.94, -0.61, 3.87, 4.63, -26.17
-0.17, -0.90, -0.59, 8.17, -0.25, -34.57
-0.14, -0.86, -0.58, 8.13, -2.54, -34.59
-0.06, -0.79, -0.55, 3.85, 16.12, -21.01
0.07, -0.67, -0.46, -3.57, 27.76, -7.48
0.14, -0.58, -0.36, -12.07, 18.27, 2.62
0.19, -0.59, -0.34, -22.54, 18.29, 21.21
0.18, -0.66, -0.34, -32.61, 4.43, 26.26
0.09, -0.73, -0.36, -34.82, 5.97, 36.52
0.04, -0.73, -0.44, -34.54, -5.57, 34.75
-0.07, -0.74, -0.53, -27.44, -12.77, 28.08
-0.24, -0.81, -0.60, -19.42, -15.72, 12.05
-0.45, -0.92, -0.63, -11.12, -17.17, -10.31
-0.55, -0.97, -0.67, -4.31, -0.59, -24.85
-0.46, -0.95, -0.66, 1.91, 6.36, -38.17
-0.33, -0.88, -0.60, 7.83, 0.18, -48.98
-0.16, -0.83, -0.60, 11.55, 5.35, -41.99
0.03, -0.77, -0.57, 6.44, 25.02, -26.93
0.13, -0.68, -0.42, -2.76, 16.96, -19.93
0.15, -0.63, -0.35, -9.87, 20.64, -1.62
0.22, -0.60, -0.35, -20.46, 21.70, 13.55
0.22, -0.59, -0.32, -28.44, 15.85, 23.76
0.12, -0.64, -0.32, -31.68, 13.96, 33.03
0.05, -0.70, -0.40, -29.71, 10.13, 37.97
0.02, -0.71, -0.48, -24.33, 8.78, 42.00
-0.03, -0.74, -0.56, -17.39, 6.74, 32.55
-0.23, -0.83, -0.58, -10.97, 1.24, 15.21
-0.44, -0.93, -0.58, -5.42, -5.11, -8.20
-0.53, -1.00, -0.62, -2.60, -1.96, -22.84
-0.46, -0.98, -0.60, 0.02, -5.00, -39.85
-0.34, -0.88, -0.57, 3.27, -8.33, -47.75
-0.21, -0.82, -0.56, 3.22, -13.01, -45.18
0.00, -0.80, -0.53, 0.08, 2.83, -28.62
0.20, -0.72, -0.47, -4.04, 9.10, -17.10
0.17, -0.64, -0.41, -9.85, -0.95, -14.43
0.07, -0.60, -0.41, -14.71, 7.02, -1.19
0.06, -0.59, -0.42, -21.73, 11.76, 10.58
0.08, -0.60, -0.40, -24.73, 12.59, 16.96
0.07, -0.64, -0.42, -25.02, 14.68, 23.46
0.03, -0.70, -0.44, -23.66, 17.93, 31.09
0.02, -0.75, -0.50, -25.56, 19.54, 34.57
-0.03, -0.81, -0.50, -23.77, 4.45, 27.35
-0.16, -0.85, -0.54, -17.54, -11.96, 14.58
