ax,ay,az,gx,gy,gz
0.17,-0.54,-0.39,-5.72,19.1,-20.18
0.38,-0.53,-0.35,-18.1,26.88,15.08
0.59,-0.52,-0.34,-37.53,23.01,44.33
0.54,-0.55,-0.36,-46.62,3.37,50.85
0.27,-0.57,-0.4,-49.17,-2.8,63.74
0.03,-0.61,-0.47,-48.84,2.95,64.0
-0.08,-0.76,-0.54,-41.16,-5.12,64.0
-0.32,-0.9,-0.59,-40.98,-30.96,44.98
-0.62,-0.91,-0.66,-27.09,-55.84,15.28
-0.85,-0.85,-0.73,1.9,-56.46,-19.5
-0.91,-0.85,-0.71,15.38,-13.4,-39.78
-0.78,-0.9,-0.61,17.21,24.78,-56.32
-0.5,-0.88,-0.56,18.53,34.19,-64.0
-0.23,-0.84,-0.54,12.67,25.67,-62.91
0.1,-0.8,-0.53,5.52,24.33,-36.35
0.37,-0.71,-0.52,3.58,17.87,-13.32
0.47,-0.57,-0.44,-7.96,6.22,5.04
0.48,-0.54,-0.35,-26.27,15.59,34.25
0.46,-0.59,-0.38,-36.35,8.77,40.86
0.24,-0.61,-0.42,-46.58,3.56,45.71
-0.03,-0.63,-0.45,-52.94,10.89,56.42
-0.12,-0.71,-0.5,-46.62,1.53,54.08
-0.24,-0.79,-0.58,-32.56,-18.93,39.7
-0.45,-0.9,-0.62,-24.41,-40.06,14.48
-0.71,-0.94,-0.64,-10.98,-42.64,-11.95
-0.8,-0.91,-0.63,1.0,-7.35,-28.8
-0.62,-0.87,-0.6,6.8,20.46,-40.17
-0.38,-0.81,-0.57,11.17,21.94,-48.99
-0.23,-0.79,-0.55,12.28,13.03,-50.55
-0.06,-0.77,-0.56,7.76,8.41,-36.28
0.13,-0.71,-0.52,3.22,15.91,-10.51
0.33,-0.62,-0.44,-4.79,10.72,5.19
0.4,-0.55,-0.36,-23.48,8.16,27.04
0.37,-0.57,-0.36,-29.93,10.52,37.73
0.24,-0.58,-0.41,-38.77,5.11,44.95
0.02,-0.61,-0.43,-45.89,8.07,55.46
-0.08,-0.69,-0.46,-45.05,-1.38,54.85
-0.17,-0.79,-0.55,-35.76,-16.04,43.27
-0.4,-0.9,-0.6,-32.23,-40.07,20.88
-0.63,-0.94,-0.65,-13.9,-49.95,-4.11
-0.8,-0.91,-0.72,4.01,-29.24,-31.98
-0.8,-0.88,-0.67,12.07,8.65,-46.2
-0.58,-0.86,-0.58,18.17,27.52,-58.81
-0.34,-0.84,-0.55,16.83,26.93,-61.14
-0.09,-0.8,-0.53,9.68,16.07,-50.79
0.15,-0.71,-0.51,7.77,14.5,-25.4
0.34,-0.6,-0.47,3.5,4.4,-10.12
0.37,-0.57,-0.39,-12.17,6.8,10.9
0.4,-0.63,-0.33,-29.04,13.84,28.25
0.37,-0.69,-0.36,-36.2,11.7,38.89
0.19,-0.73,-0.4,-49.75,8.32,47.05
-0.01,-0.77,-0.43,-51.94,0.9,48.68
-0.19,-0.81,-0.52,-43.88,-24.18,38.89
-0.38,-0.85,-0.65,-27.46,-52.75,12.92
-0.66,-0.91,-0.69,-11.51,-61.29,-20.72
-0.86,-0.94,-0.66,0.06,-23.86,-43.23
-0.8,-0.91,-0.61,8.12,14.4,-60.54
-0.61,-0.85,-0.57,14.01,23.97,-64.0
-0.36,-0.84,-0.54,11.13,24.89,-64.0
-0.0,-0.81,-0.53,8.6,29.24,-45.74
0.33,-0.7,-0.5,6.06,8.75,-31.39
0.35,-0.57,-0.42,-3.21,-8.72,-14.15
0.31,-0.56,-0.34,-17.01,3.78,12.3
0.35,-0.56,-0.31,-34.73,10.32,34.31
0.27,-0.59,-0.34,-44.98,10.3,36.99
0.07,-0.61,-0.38,-53.65,14.92,43.38
-0.04,-0.65,-0.41,-60.05,19.81,52.17
-0.04,-0.73,-0.46,-58.04,5.63,53.59
-0.11,-0.82,-0.55,-46.25,-27.3,42.14
-0.33,-0.89,-0.65,-33.89,-51.13,19.96
-0.6,-0.95,-0.67,-22.3,-59.77,-12.39
-0.83,-0.98,-0.7,-7.86,-32.1,-37.15
-0.75,-0.96,-0.67,-1.34,8.71,-49.51
-0.52,-0.91,-0.62,5.08,18.81,-64.0
-0.34,-0.88,-0.59,5.13,22.48,-64.0
-0.04,-0.83,-0.57,3.35,30.52,-48.64
0.26,-0.73,-0.53,1.29,18.79,-28.11
0.36,-0.62,-0.46,-7.39,8.73,-9.15
0.39,-0.54,-0.34,-17.56,13.9,18.44
0.44,-0.5,-0.33,-33.63,12.91,36.32
0.33,-0.54,-0.35,-48.87,6.93,41.26
0.06,-0.6,-0.4,-57.16,15.38,49.86
-0.05,-0.6,-0.44,-61.21,18.0,61.3
-0.08,-0.64,-0.51,-50.17,-6.31,52.94
-0.2,-0.74,-0.63,-38.14,-32.62,38.7
-0.47,-0.87,-0.69,-23.34,-52.87,11.4
-0.77,-0.9,-0.74,-5.98,-53.35,-20.19
-0.88,-0.89,-0.73,10.67,-10.16,-36.25
-0.7,-0.87,-0.64,16.88,19.13,-54.27
-0.46,-0.86,-0.57,16.07,20.7,-64.0
-0.22,-0.86,-0.53,9.1,22.93,-55.57
0.14,-0.81,-0.52,4.06,30.38,-30.31
0.4,-0.69,-0.48,-1.5,13.29,-11.54
0.44,-0.6,-0.41,-13.84,5.77,8.16
0.45,-0.58,-0.37,-29.85,13.49,33.64
0.21,-0.65,-0.41,-53.94,6.62,48.33
