ax,ay,az,gx,gy,gz
-0.16,-0.81,-0.38,-20.45,23.73,-4.56
-0.07,-0.88,-0.26,-28.91,24.53,-5.25
-0.01,-0.86,-0.35,-26.25,22.03,-6.54
-0.03,-0.79,-0.58,-8.88,32.69,-2.47
-0.05,-0.72,-0.68,3.36,33.76,-2.03
-0.03,-0.76,-0.47,-5.29,22.16,-0.5
-0.01,-0.87,-0.29,-19.15,9.38,-3.12
0.02,-0.92,-0.31,-24.22,-10.84,-6.45
0.04,-0.87,-0.38,-27.08,-26.98,-3.44
0.03,-0.83,-0.4,-32.71,-42.61,1.48
0.02,-0.8,-0.44,-32.26,-50.4,-1.22
0.03,-0.74,-0.51,-31.21,-47.57,1.84
0.0,-0.75,-0.46,-37.33,-48.54,-1.56
-0.04,-0.86,-0.37,-50.81,-52.29,-0.21
0.05,-0.92,-0.46,-53.28,-52.07,0.09
0.11,-0.83,-0.66,-40.07,-48.98,1.68
-0.01,-0.73,-0.71,-29.41,-33.56,-4.95
-0.15,-0.76,-0.58,-30.77,-20.31,-7.84
-0.13,-0.85,-0.51,-35.0,-17.7,-9.1
-0.05,-0.87,-0.55,-34.82,-9.79,-11.72
-0.06,-0.79,-0.64,-23.12,0.45,-12.79
-0.12,-0.71,-0.66,-16.52,0.51,-13.92
-0.05,-0.7,-0.62,-11.1,-10.64,-9.15
0.09,-0.75,-0.56,-13.63,-17.32,-5.69
0.07,-0.79,-0.51,-15.85,-6.63,-4.39
-0.01,-0.76,-0.52,-13.57,0.64,-4.62
-0.03,-0.72,-0.57,-9.23,11.08,-3.36
0.04,-0.69,-0.6,-5.64,15.7,2.5
0.09,-0.71,-0.56,-6.47,18.43,8.04
0.01,-0.78,-0.49,-18.57,33.34,6.99
-0.01,-0.8,-0.49,-19.71,52.01,20.39
0.12,-0.73,-0.51,-22.89,12.98,-0.14
-0.1,-0.7,-0.56,-15.12,35.74,5.65
-0.13,-0.71,-0.61,-13.41,34.88,19.35
0.15,-0.71,-0.61,-11.28,11.63,15.76
0.27,-0.7,-0.62,-4.95,12.73,29.04
0.24,-0.69,-0.62,-1.66,13.02,30.13
0.09,-0.75,-0.55,-2.77,23.02,28.72
-0.07,-0.86,-0.44,-14.87,44.8,25.45
-0.16,-0.97,-0.4,-27.35,62.42,19.82
-0.16,-0.94,-0.42,-35.51,57.66,15.37
-0.03,-0.88,-0.5,-30.2,44.46,15.83
0.1,-0.8,-0.58,-24.25,33.22,14.14
0.08,-0.77,-0.62,-17.56,35.29,10.75
-0.03,-0.77,-0.64,-12.57,44.78,6.22
-0.15,-0.78,-0.62,-13.93,54.44,3.91
-0.15,-0.82,-0.56,-18.77,53.96,2.82
-0.07,-0.82,-0.55,-20.68,34.64,-1.51
-0.01,-0.79,-0.55,-19.89,12.82,-3.65
0.02,-0.8,-0.53,-24.36,2.58,-6.77
0.04,-0.82,-0.52,-26.87,-7.36,-5.47
0.08,-0.81,-0.51,-28.61,-16.21,-6.83
0.07,-0.78,-0.49,-31.14,-33.05,-7.72
0.04,-0.78,-0.5,-28.86,-38.14,-13.49
-0.0,-0.77,-0.59,-20.97,-39.09,-12.22
0.01,-0.76,-0.6,-18.43,-36.25,-7.2
0.05,-0.79,-0.52,-19.57,-35.07,-10.24
-0.02,-0.81,-0.46,-26.71,-12.46,-15.06
-0.14,-0.8,-0.48,-26.01,16.16,-18.59
-0.19,-0.75,-0.56,-19.84,44.79,-20.28
-0.14,-0.72,-0.6,-11.59,60.25,-18.75
-0.06,-0.7,-0.56,-8.64,64.0,-21.2
-0.07,-0.72,-0.5,-11.18,64.0,-27.26
-0.06,-0.73,-0.53,-5.39,64.0,-24.75
0.02,-0.71,-0.59,4.73,64.0,-26.73
0.02,-0.69,-0.62,14.77,64.0,-31.04
-0.03,-0.69,-0.57,14.42,64.0,-31.83
-0.06,-0.74,-0.47,5.79,64.0,-34.7
0.04,-0.81,-0.43,-1.39,64.0,-27.12
0.16,-0.78,-0.39,-15.98,64.0,-32.27
0.22,-0.77,-0.42,-15.77,64.0,-25.09
0.45,-0.75,-0.52,-10.99,64.0,-9.27
0.53,-0.79,-0.49,-15.85,38.02,-8.98
