ax,ay,az,gx,gy,gz
0.22,-0.77,-0.66,8.52,22.51,-46.43
0.53,-0.69,-0.61,3.29,23.79,-18.04
0.78,-0.57,-0.49,-5.83,16.2,7.49
0.82,-0.51,-0.41,-20.96,8.71,29.18
0.74,-0.55,-0.4,-34.08,5.97,44.03
0.5,-0.61,-0.43,-49.24,5.11,50.11
0.27,-0.67,-0.46,-61.36,8.42,52.26
0.15,-0.7,-0.51,-60.32,4.64,47.81
0.08,-0.77,-0.62,-50.34,-13.91,37.08
-0.07,-0.83,-0.69,-42.91,-32.49,18.85
-0.25,-0.85,-0.76,-23.96,-44.51,-1.05
-0.39,-0.84,-0.85,-0.07,-30.35,-26.17
-0.41,-0.83,-0.81,10.33,0.65,-43.36
-0.28,-0.83,-0.7,14.76,26.27,-55.48
-0.05,-0.83,-0.65,15.58,29.91,-60.11
0.18,-0.79,-0.63,14.74,24.04,-51.24
0.39,-0.71,-0.59,8.39,25.52,-27.93
0.65,-0.61,-0.49,-1.77,21.43,-3.27
0.78,-0.54,-0.38,-16.28,19.07,20.31
0.8,-0.55,-0.33,-36.59,10.71,39.47
0.63,-0.6,-0.39,-50.72,1.39,51.77
0.34,-0.63,-0.45,-63.75,2.68,54.81
0.18,-0.65,-0.49,-63.52,0.79,52.16
0.11,-0.73,-0.59,-53.94,-22.71,38.67
-0.06,-0.82,-0.71,-43.24,-49.11,16.73
-0.33,-0.86,-0.83,-19.89,-57.14,-10.1
-0.51,-0.83,-0.9,3.84,-35.23,-37.06
-0.5,-0.83,-0.84,15.73,5.97,-57.28
-0.31,-0.84,-0.74,23.18,29.38,-64.0
-0.05,-0.84,-0.7,23.8,30.58,-64.0
0.2,-0.8,-0.66,18.55,33.91,-54.64
0.52,-0.69,-0.57,12.5,33.25,-28.84
0.72,-0.57,-0.45,2.65,20.44,-6.41
0.77,-0.49,-0.36,-16.17,16.57,18.45
0.78,-0.48,-0.34,-33.12,14.61,42.23
0.64,-0.51,-0.38,-49.12,3.83,49.79
0.36,-0.56,-0.42,-58.38,7.55,54.96
0.17,-0.59,-0.47,-61.41,7.41,54.52
0.07,-0.64,-0.56,-52.06,-15.97,43.53
-0.05,-0.71,-0.69,-36.08,-45.29,27.1
-0.25,-0.81,-0.78,-16.43,-60.94,0.93
-0.48,-0.89,-0.82,1.12,-48.14,-27.81
-0.52,-0.9,-0.78,13.08,3.24,-44.34
-0.3,-0.85,-0.71,23.29,23.44,-62.27
-0.09,-0.83,-0.68,23.05,23.21,-64.0
0.18,-0.84,-0.66,17.45,28.77,-48.98
0.49,-0.76,-0.6,11.59,28.1,-26.0
0.72,-0.62,-0.49,3.96,10.38,-10.72
0.74,-0.54,-0.4,-12.1,4.03,12.31
0.76,-0.53,-0.38,-29.38,10.54,37.74
0.67,-0.54,-0.41,-42.68,3.77,47.27
0.39,-0.57,-0.44,-54.02,7.21,51.43
0.2,-0.62,-0.49,-58.6,9.26,53.88
0.12,-0.69,-0.57,-51.16,-9.87,44.69
-0.03,-0.79,-0.7,-37.36,-37.97,26.65
-0.23,-0.86,-0.79,-21.89,-50.85,-1.08
-0.47,-0.88,-0.82,-0.15,-44.18,-29.14
-0.5,-0.87,-0.79,13.8,-2.83,-48.57
-0.31,-0.84,-0.71,21.15,17.11,-64.0
-0.11,-0.85,-0.65,18.62,15.74,-64.0
0.19,-0.84,-0.65,12.92,28.59,-50.42
0.52,-0.73,-0.59,11.22,32.27,-28.7
0.71,-0.59,-0.47,0.37,6.21,-19.84
0.68,-0.56,-0.4,-14.25,5.75,10.22
0.72,-0.55,-0.4,-32.3,13.75,34.81
0.65,-0.54,-0.41,-46.07,4.16,42.2
0.37,-0.57,-0.43,-55.66,5.17,45.87
0.16,-0.59,-0.5,-55.37,-1.48,45.04
0.01,-0.65,-0.6,-41.76,-32.38,28.42
-0.17,-0.76,-0.78,-16.36,-63.39,1.68
-0.39,-0.88,-0.87,3.31,-59.75,-24.92
-0.48,-0.91,-0.78,13.88,-13.08,-48.82
-0.37,-0.87,-0.66,22.1,17.46,-64.0
-0.07,-0.86,-0.62,18.12,27.09,-64.0
0.26,-0.86,-0.58,6.31,28.81,-49.26
0.56,-0.78,-0.52,1.51,15.23,-28.77
0.7,-0.65,-0.49,-5.52,-3.64,-13.67
0.66,-0.58,-0.44,-17.12,-7.46,8.23
0.61,-0.56,-0.43,-28.85,-10.53,22.91
0.48,-0.55,-0.5,-34.46,-12.63,27.64
0.27,-0.56,-0.55,-38.19,-4.51,28.28
0.12,-0.56,-0.57,-39.02,7.21,30.21
0.12,-0.6,-0.59,-36.69,6.68,31.11
0.18,-0.7,-0.61,-30.83,-8.15,29.78
0.18,-0.82,-0.64,-24.65,-26.36,21.48
0.1,-0.93,-0.69,-18.45,-37.46,7.67
-0.09,-0.97,-0.74,-9.55,-35.41,-11.3
-0.21,-0.95,-0.76,0.03,-21.71,-28.35
-0.23,-0.9,-0.73,4.91,-6.55,-42.65
-0.13,-0.87,-0.69,7.86,-1.47,-54.38
-0.02,-0.83,-0.65,6.59,3.28,-53.84
0.19,-0.73,-0.56,-3.66,28.19,-30.49
0.55,-0.59,-0.44,-13.67,40.37,-4.53
0.76,-0.44,-0.36,-26.14,18.68,12.9
0.76,-0.42,-0.38,-37.47,2.52,34.27
0.62,-0.48,-0.49,-41.7,-16.19,48.14
0.36,-0.56,-0.53,-45.48,-12.5,51.1
0.17,-0.65,-0.55,-42.99,0.61,52.67
0.11,-0.72,-0.6,-32.55,-4.33,44.56
0.01,-0.83,-0.71,-18.12,-21.36,27.55
-0.2,-0.93,-0.76,-12.59,-30.72,2.26
-0.43,-0.95,-0.76,0.25,-22.35,-21.06
-0.41,-0.87,-0.73,8.83,5.2,-38.56
-0.18,-0.79,-0.63,8.17,13.57,-51.97
0.0,-0.79,-0.57,3.41,5.59,-52.17
0.2,-0.77,-0.56,-4.81,12.06,-34.93
0.49,-0.66,-0.5,-17.33,27.13,-4.12
0.77,-0.58,-0.4,-31.21,21.62,18.49
