ax,ay,az,gx,gy,gz
0.28, -0.51, -0.59, -21.38, -10.68, 12.44
0.49, -0.48, -0.74, -2.11, -0.47, 29.23
0.53, -0.49, -0.69, 5.37, -23.75, 35.78
0.26, -0.59, -0.57, 2.90, -17.46, 34.67
0.01, -0.76, -0.52, 1.14, 13.21, 24.72
-0.05, -0.88, -0.50, -4.06, 34.43, 15.43
0.04, -0.95, -0.51, -3.29, 26.47, 10.84
0.15, -0.98, -0.52, -0.06, 10.77, 5.78
0.14, -1.02, -0.50, -2.81, 2.29, -5.22
0.02, -1.03, -0.43, -7.16, 19.01, -20.96
0.01, -0.97, -0.41, -8.12, 43.27, -28.14
0.13, -0.89, -0.41, -14.89, 37.73, -28.54
0.27, -0.83, -0.38, -26.34, 13.06, -21.91
0.34, -0.77, -0.37, -32.01, -16.73, -14.62
0.36, -0.67, -0.40, -33.49, -35.16, -10.42
0.33, -0.57, -0.47, -27.87, -37.15, -2.64
0.30, -0.53, -0.52, -21.80, -32.24, 3.00
0.27, -0.53, -0.58, -13.55, -9.35, 14.57
0.32, -0.55, -0.66, -1.05, 1.12, 24.76
0.34, -0.58, -0.64, -0.36, -2.06, 33.69
0.27, -0.66, -0.57, -0.02, 7.92, 34.09
0.20, -0.78, -0.57, 1.50, 19.09, 33.16
0.20, -0.88, -0.58, 3.86, 17.14, 27.94
0.17, -0.98, -0.59, 9.81, 0.03, 14.49
0.01, -1.08, -0.55, 5.59, 6.14, -2.70
-0.14, -1.13, -0.48, 1.87, 33.99, -19.12
-0.15, -1.06, -0.41, -7.94, 58.12, -35.33
0.01, -0.95, -0.35, -13.03, 64.00, -35.66
0.23, -0.88, -0.34, -21.45, 40.62, -29.53
0.39, -0.80, -0.32, -32.19, 1.77, -18.39
0.43, -0.69, -0.34, -33.80, -32.47, -7.71
0.38, -0.57, -0.37, -33.61, -51.84, -0.68
0.29, -0.48, -0.42, -28.09, -47.75, 6.44
0.22, -0.45, -0.49, -21.24, -34.43, 12.43
0.21, -0.48, -0.56, -12.16, -15.38, 17.65
0.22, -0.54, -0.60, -4.51, -6.47, 21.30
0.22, -0.62, -0.63, 2.20, 2.44, 24.12
0.22, -0.73, -0.60, 1.86, -0.25, 22.72
0.18, -0.85, -0.60, 6.17, 23.52, 25.74
0.21, -0.95, -0.64, 10.08, 21.22, 22.32
0.18, -1.03, -0.58, 8.61, 20.82, 18.15
0.13, -1.09, -0.53, 9.44, 13.58, 7.90
0.00, -1.09, -0.50, 5.24, 21.54, -9.89
-0.11, -1.04, -0.39, -11.77, 33.44, -30.07
-0.11, -0.98, -0.32, -20.33, 62.02, -34.28
0.11, -0.88, -0.37, -28.44, 50.60, -27.15
0.34, -0.75, -0.38, -39.50, 18.36, -15.99
0.40, -0.63, -0.38, -40.75, -13.75, -5.09
0.36, -0.52, -0.43, -39.01, -31.86, 2.89
0.30, -0.46, -0.48, -35.53, -34.97, 8.64
0.24, -0.47, -0.55, -24.09, -14.44, 14.21
0.19, -0.54, -0.60, -15.08, -2.00, 13.48
0.10, -0.65, -0.60, -10.34, 15.57, 14.81
0.16, -0.75, -0.66, -2.57, 28.18, 21.80
0.31, -0.80, -0.68, 4.12, 36.57, 25.88
0.37, -0.85, -0.63, 10.01, 33.33, 27.28
0.29, -0.96, -0.55, 8.89, 24.43, 22.44
