ax,ay,az,gx,gy,gz
0.27,-0.4,-0.45,-16.24,6.22,13.04
0.23,-0.41,-0.45,-28.51,15.71,34.93
0.14,-0.47,-0.43,-35.79,13.77,39.3
-0.01,-0.53,-0.45,-43.47,19.22,52.11
-0.11,-0.6,-0.51,-49.42,11.06,60.35
-0.16,-0.67,-0.59,-37.27,-13.91,46.74
-0.39,-0.76,-0.74,-21.86,-31.39,24.38
-0.71,-0.82,-0.82,-10.87,-38.48,-2.73
-0.96,-0.81,-0.83,8.76,-11.1,-18.41
-0.86,-0.78,-0.76,18.74,16.68,-37.37
-0.64,-0.75,-0.65,14.8,22.34,-46.65
-0.4,-0.75,-0.59,11.74,19.79,-43.09
-0.1,-0.71,-0.55,-0.35,30.2,-19.65
0.2,-0.61,-0.49,-7.28,30.68,8.15
0.31,-0.5,-0.41,-21.63,12.36,17.14
0.24,-0.53,-0.41,-34.5,12.04,35.87
0.14,-0.57,-0.46,-41.92,-0.08,39.86
0.02,-0.58,-0.5,-43.37,-8.05,53.76
-0.09,-0.57,-0.59,-34.68,-18.22,51.16
-0.31,-0.63,-0.71,-19.7,-21.63,29.89
-0.69,-0.74,-0.73,-13.91,-36.0,-1.71
-0.95,-0.81,-0.77,1.04,-12.15,-15.55
-0.82,-0.8,-0.75,10.56,7.96,-27.92
-0.62,-0.78,-0.65,10.9,3.81,-43.84
-0.47,-0.77,-0.63,13.1,-2.48,-46.86
-0.26,-0.74,-0.63,13.69,-2.39,-38.26
-0.07,-0.66,-0.61,11.89,5.02,-18.25
0.06,-0.55,-0.51,4.21,6.04,-5.4
0.08,-0.48,-0.43,-1.85,5.25,7.37
0.07,-0.48,-0.42,-13.3,14.47,31.88
0.06,-0.53,-0.42,-21.47,18.18,40.23
-0.01,-0.55,-0.41,-32.93,10.45,43.54
-0.07,-0.57,-0.46,-39.5,-3.21,49.62
-0.13,-0.62,-0.57,-35.19,-18.96,47.21
-0.3,-0.7,-0.68,-25.01,-31.34,27.57
-0.64,-0.82,-0.72,-17.13,-40.87,-1.82
-0.91,-0.87,-0.8,1.68,-21.89,-25.46
-0.86,-0.84,-0.79,14.65,5.13,-36.01
-0.66,-0.81,-0.69,17.43,11.44,-51.03
-0.47,-0.81,-0.64,17.06,6.41,-52.08
-0.22,-0.77,-0.63,14.88,21.19,-27.3
0.04,-0.64,-0.57,14.69,6.18,-20.69
0.05,-0.55,-0.46,3.93,8.93,-5.85
0.06,-0.5,-0.36,-9.35,11.14,17.57
0.12,-0.48,-0.3,-28.5,10.72,36.7
0.09,-0.5,-0.33,-38.02,4.86,38.85
-0.06,-0.52,-0.41,-44.78,-4.13,40.89
-0.13,-0.55,-0.49,-48.25,-3.63,52.56
-0.17,-0.64,-0.59,-43.29,-16.12,47.46
-0.33,-0.73,-0.7,-29.78,-27.31,26.74
-0.63,-0.83,-0.74,-16.19,-42.54,-2.19
-0.89,-0.89,-0.81,3.69,-24.32,-23.96
-0.91,-0.9,-0.8,18.09,9.14,-41.25
-0.76,-0.88,-0.69,18.7,16.18,-59.66
-0.54,-0.88,-0.62,16.99,15.33,-62.42
-0.2,-0.81,-0.59,8.67,37.71,-31.3
0.15,-0.65,-0.48,0.75,17.26,-20.18
0.12,-0.53,-0.39,-7.2,0.67,-17.66
0.04,-0.48,-0.44,-14.96,8.28,3.95
0.09,-0.45,-0.42,-32.91,8.88,23.68
0.08,-0.48,-0.38,-39.51,12.51,31.72
-0.04,-0.51,-0.42,-43.35,14.64,36.15
-0.15,-0.53,-0.47,-46.91,19.97,50.27
-0.17,-0.6,-0.52,-43.6,5.06,53.22
-0.25,-0.69,-0.61,-29.85,-27.13,36.19
-0.5,-0.8,-0.77,-13.34,-42.45,8.17
