ax,ay,az,gx,gy,gz
0.57, -0.61, -0.35, -14.81, 23.73, -5.97
0.75, -0.54, -0.35, -19.62, 14.31, 15.05
0.80, -0.49, -0.41, -25.36, -1.72, 27.51
0.60, -0.52, -0.44, -29.59, -1.05, 33.92
0.35, -0.58, -0.47, -29.94, 4.78, 36.54
0.26, -0.61, -0.52, -25.03, 8.22, 38.51
0.30, -0.64, -0.56, -15.55, -2.99, 39.24
0.29, -0.75, -0.58, -4.13, -29.69, 28.49
0.08, -0.91, -0.57, -0.90, -39.14, 6.34
-0.14, -1.06, -0.56, -4.59, -18.88, -16.05
-0.13, -1.06, -0.57, -7.44, 17.82, -27.39
0.14, -0.91, -0.56, -1.84, 17.20, -35.90
0.36, -0.82, -0.57, 0.23, 5.26, -30.72
0.49, -0.81, -0.59, 1.85, -4.33, -26.67
0.46, -0.80, -0.57, -0.32, 1.18, -25.42
0.38, -0.73, -0.52, -8.43, 18.59, -21.41
0.40, -0.65, -0.44, -17.67, 24.71, -8.88
0.55, -0.58, -0.39, -24.35, 19.88, 4.72
0.64, -0.52, -0.42, -26.47, 3.61, 16.21
0.59, -0.50, -0.45, -28.68, -6.01, 24.55
0.44, -0.54, -0.49, -30.14, -0.98, 29.39
0.31, -0.59, -0.53, -27.96, 7.63, 33.23
0.28, -0.65, -0.56, -23.81, 7.37, 34.90
0.28, -0.72, -0.58, -12.82, -4.78, 30.77
0.16, -0.86, -0.58, -6.54, -28.33, 5.73
-0.12, -1.00, -0.59, -5.72, -22.30, -11.05
-0.14, -1.03, -0.61, -7.22, 9.20, -22.19
0.06, -0.91, -0.58, -0.21, 8.72, -33.80
0.25, -0.79, -0.56, 4.20, 8.68, -32.50
0.39, -0.77, -0.56, 2.78, 7.49, -28.81
0.43, -0.76, -0.53, -3.60, 15.18, -23.70
0.44, -0.71, -0.47, -11.84, 22.65, -16.76
0.52, -0.64, -0.40, -20.51, 24.09, -2.82
0.66, -0.58, -0.40, -24.34, 13.50, 11.82
0.69, -0.53, -0.44, -27.14, 0.67, 23.42
0.57, -0.55, -0.48, -29.74, 1.59, 30.61
