ax,ay,az,gx,gy,gz
0.52, -0.81, -0.47, 4.27, 14.41, -7.99
0.53, -0.75, -0.39, -5.38, 18.49, -0.43
0.49, -0.73, -0.28, -15.73, 29.64, 8.72
0.48, -0.73, -0.27, -26.06, 27.98, 16.60
0.40, -0.74, -0.31, -37.38, 28.85, 26.29
0.31, -0.74, -0.35, -39.96, 22.71, 29.34
0.26, -0.72, -0.39, -36.13, 11.79, 30.81
0.22, -0.73, -0.45, -28.52, -4.43, 24.25
0.06, -0.80, -0.53, -16.55, -28.53, 9.61
-0.16, -0.89, -0.61, -4.00, -20.45, -2.78
-0.28, -0.96, -0.65, -1.95, 3.94, -15.99
-0.20, -0.95, -0.58, 3.16, 18.52, -24.14
0.01, -0.89, -0.50, 6.75, 11.04, -28.36
0.24, -0.85, -0.46, 6.38, -3.23, -23.74
0.33, -0.83, -0.44, 3.52, -2.64, -16.72
0.36, -0.78, -0.42, -1.69, 8.43, -12.21
0.36, -0.75, -0.36, -8.64, 14.34, -3.37
0.39, -0.74, -0.30, -18.61, 17.13, 6.01
0.43, -0.73, -0.29, -24.55, 12.28, 12.01
0.38, -0.71, -0.31, -30.81, 14.70, 21.46
0.31, -0.71, -0.34, -34.36, 14.52, 27.27
0.28, -0.72, -0.36, -33.38, 8.27, 29.78
0.26, -0.75, -0.41, -30.77, -7.49, 25.89
0.14, -0.82, -0.48, -20.12, -18.55, 16.53
-0.03, -0.91, -0.56, -16.06, -15.47, 3.77
-0.20, -0.96, -0.61, -9.04, -9.65, -12.80
-0.22, -0.95, -0.64, -0.71, 14.61, -20.25
-0.05, -0.96, -0.61, 4.30, 10.19, -29.79
0.09, -0.94, -0.56, 8.66, 5.55, -30.98
0.18, -0.89, -0.54, 11.04, 4.02, -31.97
0.26, -0.83, -0.50, 9.19, 14.01, -25.00
0.33, -0.78, -0.41, 3.58, 19.28, -18.14
0.38, -0.71, -0.35, -3.36, 17.08, -8.82
0.40, -0.66, -0.29, -9.50, 15.60, 2.47
0.40, -0.63, -0.28, -16.89, 19.41, 10.46
0.33, -0.63, -0.26, -23.61, 11.83, 16.62
0.26, -0.68, -0.27, -29.54, 11.76, 25.41
0.29, -0.71, -0.31, -32.42, -1.75, 31.62
0.32, -0.73, -0.33, -30.98, -11.91, 33.57
0.28, -0.80, -0.39, -26.35, -24.30, 27.19
0.13, -0.89, -0.47, -21.57, -19.92, 16.72
-0.06, -0.99, -0.55, -17.97, -8.59, -0.70
-0.18, -1.03, -0.60, -12.69, 2.80, -12.41
-0.11, -1.02, -0.62, -6.20, 17.19, -21.71
0.05, -0.96, -0.58, 2.22, 6.22, -28.75
0.15, -0.90, -0.54, 6.64, 2.64, -29.40
0.20, -0.88, -0.51, 6.71, 2.76, -28.24
0.23, -0.82, -0.46, 2.86, 7.07, -22.90
0.28, -0.75, -0.41, -1.15, 17.89, -12.62
0.38, -0.68, -0.35, -7.66, 11.72, -6.10
0.41, -0.65, -0.29, -13.04, 12.76, 7.06
0.42, -0.64, -0.28, -19.14, 10.08, 13.17
0.38, -0.67, -0.30, -25.78, 10.61, 20.79
0.31, -0.72, -0.32, -30.47, 16.75, 28.43
0.31, -0.75, -0.35, -31.65, 8.53, 33.09
0.31, -0.78, -0.40, -28.28, -7.14, 33.58
0.22, -0.83, -0.48, -21.11, -13.32, 23.56
0.01, -0.92, -0.53, -13.82, -14.53, 5.83
-0.21, -1.01, -0.58, -9.78, -4.38, -10.47
-0.25, -1.05, -0.60, -5.99, 17.23, -19.43
-0.12, -1.00, -0.57, 2.13, 14.91, -31.26
0.04, -0.92, -0.54, 8.10, 10.08, -35.31
0.18, -0.88, -0.50, 9.55, 4.95, -32.73
0.27, -0.84, -0.47, 6.03, 12.97, -21.94
0.38, -0.76, -0.39, -0.67, 22.45, -12.89
0.43, -0.68, -0.30, -6.96, 15.41, -3.96
0.44, -0.64, -0.26, -13.91, 10.66, 8.48
0.43, -0.63, -0.27, -22.75, 15.37, 15.74
0.36, -0.65, -0.26, -29.96, 12.04, 21.38
0.28, -0.72, -0.28, -33.46, 4.52, 27.08
0.27, -0.73, -0.35, -30.84, -7.90, 32.11
0.30, -0.77, -0.43, -24.08, -18.52, 33.05
0.22, -0.85, -0.48, -17.67, -14.57, 22.98
-0.02, -0.96, -0.49, -14.91, -14.30, 1.06
-0.21, -1.05, -0.54, -11.74, -2.15, -10.38
-0.18, -1.06, -0.59, -7.46, 16.54, -21.16
-0.04, -0.99, -0.56, -0.05, 14.29, -31.81
0.09, -0.90, -0.52, 5.51, 5.58, -34.20
0.21, -0.87, -0.50, 6.97, 0.31, -29.57
0.34, -0.82, -0.46, 2.39, 13.79, -16.13
0.40, -0.74, -0.38, -4.23, 19.72, -8.51
0.43, -0.65, -0.28, -13.19, 17.60, 3.78
0.46, -0.62, -0.24, -19.60, 13.44, 15.17
0.44, -0.63, -0.25, -25.47, 6.82, 22.15
0.33, -0.67, -0.28, -33.21, 4.46, 27.62
0.23, -0.70, -0.33, -32.54, -1.63, 32.68
0.23, -0.73, -0.38, -27.43, -10.51, 33.73
0.20, -0.81, -0.44, -23.10, -20.09, 24.04
0.04, -0.92, -0.48, -17.94, -19.89, 9.34
-0.14, -1.02, -0.53, -15.76, -5.84, -3.46
-0.18, -1.04, -0.56, -12.21, 5.97, -13.34
-0.06, -1.03, -0.57, -3.87, 9.20, -21.57
0.08, -0.97, -0.55, 2.43, 3.88, -29.14
0.14, -0.90, -0.53, 5.02, 2.82, -31.57
0.17, -0.86, -0.49, 4.47, 3.46, -28.90
0.24, -0.81, -0.45, 1.94, 9.51, -19.14
0.35, -0.73, -0.38, -3.44, 18.59, -6.58
0.43, -0.66, -0.29, -10.74, 11.80, 2.65
0.44, -0.62, -0.22, -18.67, 6.17, 14.91
0.41, -0.64, -0.23, -26.66, 0.18, 20.28
0.30, -0.68, -0.27, -33.75, 1.60, 26.61
0.22, -0.71, -0.31, -34.21, -3.04, 30.75
0.22, -0.76, -0.36, -28.30, -14.63, 31.01
0.19, -0.84, -0.42, -22.58, -21.87, 23.06
0.06, -0.95, -0.49, -14.95, -22.92, 10.98
-0.10, -1.03, -0.55, -10.35, -13.57, -4.02
-0.17, -1.06, -0.59, -5.03, 5.71, -14.88
-0.08, -1.01, -0.59, 3.17, 11.80, -26.46
0.06, -0.94, -0.55, 7.84, 6.19, -32.25
0.14, -0.89, -0.47, 6.90, -3.19, -31.60
0.21, -0.84, -0.44, 2.13, -1.62, -22.03
0.33, -0.75, -0.40, -3.79, 11.49, -11.44
